"Recruiting
Profile",,Player,Games,Time,Events,EFG%,Pts.,Opps.,Ast,TO,TO%,Reb,OReb,DReb,Reb%,Fouls,Team Pts.,Team Pts. Allowed,#ERROR!,Off. PPP,Def. PPP,Net PPP,VPS,2 Pt Fouls,2Pt,2Pt A,2Pt Fouled,2Pt miss,2Pt Rate,2Pt%,3 Pt Fouls,3Pt,3Pt A,3Pt Fouled,3Pt miss,3Pt Rate,3Pt%,And-1 Fouls,Ast%,ATR %,ATR Att.,ATR Fouled,ATR Made,ATR Rate,ATR/A,Blk,Blk%,Blk/Foul,Blkd,Chrg,Cut,Def Foul,Def. 2Pt%,Def. 3Pt%,Def. Poss.,Def. Rtg,Def. TO,Def. TO%,Deflect,FT,FT A,FT miss,FT Trips,FT Violation,FT%,FTF,Games,LB Foul,Long Mid %,Long Mid Att.,Long Mid Fouled,Long Mid Made,Long Mid Rate,Long Mid/A,Lost Tie Up,MPG,NS Fouls,NS Fouls (Bonus),Off Foul,Off. Pace,Off. Poss.,Off. Rtg,Opp DRebs,Opp ORebs,Pace,Poss.,PPG,Short Mid %,Short Mid Att.,Short Mid Fouled,Short Mid Made,Short Mid Rate,Short Mid/A,Shots,Stl,Stl%,Stl/Foul,Tech Foul,Tie Up,TS%,Usage %
,,"#4 Latief Lorenzano-White
Imhotep Institute Charter High S",4,1:29:40,0,60.90%,45,38,7,10,20.80%,23,9,14,13.70%,8,194,176,18,1.04,0.95,0.09,1.44,0,18,28,6,10,87.50%,64.30%,0,1,4,0,3,12.50%,25.00%,0,-,-,0,0,0,0.00%,0,3,2.30%,-,0,0,0,7,-,-,185,95.1,52,25.00%,4,6,12,6,6,0,50.00%,0.38,4,0,-,0,0,0,0.00%,0,0,22:25,0,0,1,0,187,103.7,0,0,0,0,11.2,-,0,0,0,0.00%,0,32,5,2.70%,-,0,0,60.40%,26.00%
,,"#4 Cheikh Biteye
Oak Hill Academy",3,17:23,0,20.00%,6,9,1,0,0.00%,3,0,3,8.30%,7,36,49,-13,0.9,1.2,-0.3,0.6,0,1,3,3,2,60.00%,33.30%,0,0,2,0,2,40.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,7,-,-,41,119.5,6,12.50%,2,4,7,3,4,0,57.10%,1.4,3,0,-,0,0,0,0.00%,0,0,5:47,0,0,0,0,40,90,0,0,0,0,2,-,0,0,0,0.00%,0,5,2,4.90%,-,0,0,37.10%,27.10%
,,"#4 Shaiden Ganal-Sayson
Kalani High School",3,15:20,0,50.00%,6,7,0,1,12.50%,11,5,6,29.70%,0,25,24,1,0.86,0.8,0.06,1.7,0,3,6,1,3,100.00%,50.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,30,80,5,13.90%,0,0,2,2,1,0,0.00%,0.33,3,0,-,0,0,0,0.00%,0,0,5:06,0,0,0,0,29,86.2,0,0,0,0,2,-,0,0,0,0.00%,0,6,0,0.00%,-,0,0,43.60%,25.00%
,,"#4 Rayane Solhi
Veritas Academy",4,1:38:28,0,39.20%,36,42,13,16,27.60%,11,3,8,5.80%,11,190,171,19,1.1,0.97,0.14,0.94,0,13,26,3,13,70.30%,50.00%,0,1,11,0,10,29.70%,9.10%,0,-,-,0,0,0,0.00%,0,3,1.90%,-,0,1,0,9,-,-,177,96.6,29,13.20%,3,7,10,3,5,0,70.00%,0.27,4,1,-,0,0,0,0.00%,0,0,24:37:00,0,0,0,0,172,110.5,0,0,0,0,9,-,0,0,0,0.00%,0,37,8,4.50%,-,1,0,43.50%,28.60%
,,"#4 Josiah Simbre
Leilehua",4,1:19:20,0,33.30%,14,21,8,16,43.20%,8,4,4,5.30%,6,131,178,-47,0.85,1.16,-0.31,0.67,0,3,8,1,5,44.40%,37.50%,0,2,10,0,8,55.60%,20.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,3,0,6,-,-,154,115.6,29,15.40%,5,2,4,2,3,0,50.00%,0.22,4,0,-,0,0,0,0.00%,0,0,19:50,0,0,0,0,154,85.1,0,0,0,0,3.5,-,0,0,0,0.00%,0,18,2,1.30%,-,0,0,35.40%,21.10%
,,"#4 Jackson Kiss
Utah Prep",4,1:14:01,0,75.00%,25,17,11,4,19.00%,17,2,15,14.50%,7,171,89,82,1.36,0.72,0.64,2.44,0,9,10,3,1,71.40%,90.00%,0,1,4,0,3,28.60%,25.00%,0,-,-,0,0,0,0.00%,0,5,4.40%,-,0,0,0,6,-,-,124,71.8,26,17.70%,3,4,6,2,3,0,66.70%,0.43,4,0,-,0,0,0,0.00%,0,0,18:30,0,0,1,0,126,135.7,0,0,0,0,6.2,-,0,0,0,0.00%,0,14,2,1.60%,-,0,0,75.10%,16.30%
,,"#4 Dylan Harsanyi
St. Paul VI Catholic High School",3,24:25:00,0,77.30%,17,11,2,3,21.40%,4,2,2,11.40%,2,45,44,1,0.98,0.88,0.1,1.55,0,1,2,0,1,18.20%,50.00%,0,5,9,0,4,81.80%,55.60%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,50,88,15,29.40%,2,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,8:08,0,0,0,0,46,97.8,0,0,0,0,5.7,-,0,0,0,0.00%,0,11,3,6.00%,-,0,0,77.30%,25.90%
,,"#4 Emry Piturachsatit
Kapa‘a High School",3,1:03:30,0,50.00%,14,14,4,8,36.40%,8,2,6,7.70%,3,63,130,-67,0.58,1.15,-0.57,1,0,1,1,0,0,7.10%,100.00%,0,4,13,0,9,92.90%,30.80%,0,-,-,0,0,0,0.00%,0,2,2.00%,-,0,0,0,3,-,-,113,115,18,14.20%,5,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,21:10,0,0,0,0,109,57.8,0,0,0,0,4.7,-,0,0,0,0.00%,0,14,3,2.70%,-,0,0,50.00%,17.30%
,,"#4 Ayanari Sasaki
Osaka Gakuin University Senior H",4,1:01:21,0,24.00%,14,27,3,3,10.00%,11,5,6,8.50%,3,91,91,0,0.75,0.76,-0.01,0.72,0,3,14,2,11,56.00%,21.40%,0,2,11,0,9,44.00%,18.20%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,119,76.5,42,29.60%,5,2,4,2,2,0,50.00%,0.16,4,0,-,0,0,0,0.00%,0,0,15:20,0,0,1,0,121,75.2,0,0,0,0,3.5,-,0,0,0,0.00%,0,25,4,3.40%,-,0,0,26.20%,22.20%
,,"#4 Clyde Walters
Brewster",4,50:56:00,0,45.80%,13,14,6,5,26.30%,7,3,4,7.10%,5,118,58,60,1.27,0.62,0.65,1.37,0,4,7,1,3,58.30%,57.10%,0,1,5,0,4,41.70%,20.00%,0,-,-,0,0,0,0.00%,0,2,2.70%,-,0,0,0,5,-,-,94,61.7,24,22.00%,3,2,3,1,2,0,66.70%,0.25,4,0,-,0,0,0,0.00%,0,0,12:44,0,0,0,0,93,126.9,0,0,0,0,3.2,-,0,0,0,0.00%,0,12,6,6.40%,-,0,1,48.80%,19.10%
,,"#4 Kayle Kaneshiro
Punahou School",4,23:33,0,50.00%,2,2,3,2,50.00%,0,0,0,0.00%,1,35,24,11,0.83,0.6,0.23,1.25,0,1,2,0,1,100.00%,50.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,40,60,13,27.70%,3,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,5:53,0,0,0,0,42,83.3,0,0,0,0,0.5,-,0,0,0,0.00%,0,2,1,2.50%,-,0,0,50.00%,8.50%
,,"#5 Airu Shimoji
Osaka Gakuin University Senior H",4,1:15:16,0,35.00%,29,36,11,7,16.30%,11,3,8,7.30%,8,97,122,-25,0.68,0.85,-0.17,0.91,0,6,14,4,8,46.70%,42.90%,0,3,16,0,13,53.30%,18.80%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,8,-,-,143,85.3,48,29.30%,3,8,11,3,6,0,72.70%,0.37,4,0,-,0,0,0,0.00%,0,0,18:49,0,0,0,0,143,67.8,0,0,0,0,7.2,-,0,0,0,0.00%,0,30,3,2.10%,-,0,2,41.60%,29.50%
,,"#5 Jacob Taylor
Wheeler High School (GA)",4,1:06:55,0,38.50%,11,14,5,4,22.20%,6,3,3,4.60%,9,128,93,35,1.02,0.73,0.29,0.96,0,2,7,1,5,53.80%,28.60%,0,2,6,0,4,46.20%,33.30%,0,-,-,0,0,0,0.00%,0,1,1.10%,-,0,1,0,9,-,-,128,72.7,38,26.20%,4,1,2,1,1,0,50.00%,0.15,4,0,-,0,0,0,0.00%,0,0,16:43,0,0,0,0,126,101.6,0,0,0,0,2.8,-,0,0,0,0.00%,0,13,6,4.70%,-,0,0,39.60%,12.90%
,,"#5 John Southwick
Utah Prep",4,1:13:52,0,79.20%,39,25,2,5,16.70%,6,1,5,5.00%,5,162,105,57,1.33,0.85,0.47,1.27,0,4,7,0,3,29.20%,57.10%,0,10,17,0,7,70.80%,58.80%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,123,85.4,22,14.10%,2,1,1,0,1,0,100.00%,0.04,4,0,-,0,0,0,0.00%,0,0,18:28,0,0,1,0,122,132.8,0,0,0,0,9.8,-,0,0,0,0.00%,0,24,1,0.80%,-,0,0,79.80%,19.90%
,,"#5 Tanoa Scanlan
Punahou School",4,1:41:53,0,68.40%,86,64,5,5,7.20%,24,8,16,13.10%,8,200,168,32,1.03,0.87,0.16,2,0,39,55,3,16,96.50%,70.90%,0,0,2,0,2,3.50%,0.00%,0,-,-,0,0,0,0.00%,0,2,1.20%,-,0,0,0,7,-,-,193,87,44,19.10%,2,8,10,2,7,0,80.00%,0.18,4,0,-,0,0,0,0.00%,0,2,25:28:00,0,0,1,0,194,103.1,0,0,0,0,21.5,-,0,0,0,0.00%,0,57,2,1.00%,-,0,0,70.00%,33.60%
,,"#5 
Veritas Academy",1,4:05,0,50.00%,2,2,0,0,0.00%,1,0,1,11.10%,1,8,11,-3,1.14,1.38,-0.23,0.75,0,1,1,0,0,50.00%,100.00%,0,0,1,0,1,50.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,8,137.5,1,7.70%,0,0,0,0,0,0,-,0,1,0,-,0,0,0,0.00%,0,0,4:05,0,0,0,0,7,114.3,0,0,0,0,2,-,0,0,0,0.00%,0,2,0,0.00%,-,0,0,50.00%,15.40%
,,"#5 Adlan Elamin
St. Paul VI Catholic High School",4,32:33:00,0,25.00%,8,13,7,4,23.50%,11,3,8,20.40%,3,65,66,-1,1.14,1.06,0.08,1.41,0,3,5,1,2,41.70%,60.00%,0,0,7,0,7,58.30%,0.00%,0,-,-,0,0,0,0.00%,0,1,2.00%,-,0,1,0,3,-,-,62,106.5,16,22.20%,4,2,2,0,1,0,100.00%,0.17,4,0,-,0,0,0,0.00%,0,0,8:08,0,0,0,0,57,114,0,0,0,0,2,-,0,0,0,0.00%,0,12,4,6.50%,-,0,0,31.10%,25.00%
,,"#5 Jackson Endo
Kalani High School",3,9:45,0,-,0,0,0,1,100.00%,0,0,0,0.00%,1,7,21,-14,0.39,1.31,-0.92,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,0,-,-,0,0,0,-,0,0,0.00%,-,0,0,0,1,-,-,16,131.2,0,0.00%,1,0,0,0,0,0,-,-,3,0,-,0,0,0,-,0,1,3:15,0,0,0,0,18,38.9,0,0,0,0,0,-,0,0,0,-,0,0,0,0.00%,-,0,0,-,11.80%
,,"#5 Howard Williams
Oak Hill Academy",4,1:43:01,0,62.80%,69,53,2,7,11.70%,19,8,11,10.40%,8,224,179,45,1.15,0.92,0.24,1.4,0,18,30,7,12,69.80%,60.00%,0,6,13,0,7,30.20%,46.20%,0,-,-,0,0,0,0.00%,0,1,0.60%,-,0,0,0,7,-,-,195,91.8,48,20.50%,2,15,17,2,10,0,88.20%,0.4,4,1,-,0,0,0,0.00%,0,1,25:45:00,0,0,0,0,194,115.5,0,0,0,0,17.2,-,0,0,0,0.00%,0,43,2,1.00%,-,0,2,68.30%,30.10%
,,"#5 Lakai Carter
Imhotep Institute Charter High S",4,22:49,0,33.30%,2,3,1,0,0.00%,5,2,3,11.40%,7,49,40,9,1.07,0.91,0.16,0.61,0,1,1,0,0,33.30%,100.00%,0,0,2,0,2,66.70%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,6,-,-,44,90.9,13,26.00%,0,0,0,0,0,0,-,0,4,1,-,0,0,0,0.00%,0,0,5:42,0,0,0,0,46,106.5,0,0,0,0,0.5,-,0,0,0,0.00%,0,3,1,2.30%,-,0,0,33.30%,6.00%
,,"#6 Seri Orimoto
Osaka Gakuin University Senior H",4,25:03:00,0,41.70%,6,7,2,2,22.20%,2,2,0,3.40%,3,43,40,3,0.78,0.7,0.08,1,0,1,2,0,1,33.30%,50.00%,0,1,4,0,3,66.70%,25.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,3,-,-,57,70.2,23,36.50%,1,1,1,0,1,0,100.00%,0.17,4,0,-,0,0,0,0.00%,0,0,6:15,0,0,0,0,55,78.2,0,0,0,0,1.5,-,0,0,0,0.00%,0,6,3,5.30%,-,0,0,46.60%,15.60%
,,"#7 Keishi Sanada
Osaka Gakuin University Senior H",4,1:13:25,0,25.00%,14,23,5,9,28.10%,8,2,6,5.30%,7,105,106,-1,0.75,0.75,0,0.63,0,5,17,2,12,85.00%,29.40%,0,0,3,0,3,15.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,6,-,-,141,75.2,48,28.90%,2,4,5,1,3,0,80.00%,0.25,4,0,-,0,0,0,0.00%,0,0,18:21,0,0,1,0,140,75,0,0,0,0,3.5,-,0,0,0,0.00%,0,20,4,2.80%,-,0,0,31.50%,20.80%
,,"#8 Seiichiro Tori
Osaka Gakuin University Senior H",3,19:09,0,0.00%,0,6,1,1,14.30%,3,0,3,6.80%,1,22,21,1,0.67,0.64,0.03,0.44,0,0,1,0,1,16.70%,0.00%,0,0,5,0,5,83.30%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,33,63.6,12,24.00%,4,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,6:23,0,0,0,0,33,66.7,0,0,0,0,0,-,0,0,0,0.00%,0,6,1,3.00%,-,0,0,0.00%,14.00%
,,"#9 Shion Endo
Osaka Gakuin University Senior H",4,52:39:00,0,48.50%,36,37,2,7,15.90%,11,7,4,10.60%,5,78,99,-21,0.74,0.91,-0.17,0.93,0,4,10,1,6,30.30%,40.00%,0,8,23,1,15,69.70%,34.80%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,5,-,-,109,90.8,37,30.10%,5,4,8,4,4,0,50.00%,0.24,4,0,-,0,0,0,0.00%,0,0,13:09,0,0,0,0,106,73.6,0,0,0,0,9,-,0,0,0,0.00%,0,33,7,6.40%,-,0,0,49.30%,38.70%
,,"#10 Ater Bol Meen
Brewster",4,41:53:00,0,90.60%,33,19,0,0,0.00%,10,1,9,13.20%,6,94,47,47,1.24,0.62,0.62,2.14,0,7,7,1,0,43.80%,100.00%,0,5,9,0,4,56.20%,55.60%,0,-,-,0,0,0,0.00%,0,1,1.80%,-,0,0,0,5,-,-,76,61.8,20,23.00%,0,4,6,2,3,0,66.70%,0.38,4,1,-,0,0,0,0.00%,0,0,10:28,0,0,0,0,76,123.7,0,0,0,0,8.2,-,0,0,0,0.00%,0,16,1,1.30%,-,0,0,88.50%,25.30%
,,"#10 Matyx Ulloa
Kalani High School",3,24:52:00,0,41.70%,5,6,1,3,33.30%,6,2,4,9.70%,2,32,57,-25,0.63,1.06,-0.43,0.94,0,1,3,0,2,50.00%,33.30%,0,1,3,0,2,50.00%,33.30%,0,-,-,0,0,0,0.00%,0,1,1.90%,-,0,0,0,2,-,-,54,105.6,7,10.90%,1,0,0,0,0,1,-,0,3,0,-,0,0,0,0.00%,0,1,8:17,0,0,0,0,51,62.7,0,0,0,0,1.7,-,0,0,0,0.00%,0,6,1,1.90%,-,0,0,41.70%,15.60%
,,"#10 Lucas Hipa
Kamehameha Schools Kapalama",3,26:44:00,0,30.00%,5,6,1,2,25.00%,4,0,4,7.70%,1,57,37,20,1.1,0.7,0.4,1.21,0,0,1,1,1,20.00%,0.00%,0,1,4,0,3,80.00%,25.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,53,69.8,14,20.60%,1,2,2,0,1,0,100.00%,0.4,3,0,-,0,0,0,0.00%,0,0,8:54,0,0,0,0,52,109.6,0,0,0,0,1.7,-,0,0,0,0.00%,0,5,3,5.70%,-,0,0,42.50%,13.20%
,,"#10 Tre Chikamori
‘Iolani School",4,1:19:08,0,55.60%,12,10,3,6,37.50%,4,3,1,2.70%,5,116,146,-30,0.8,1.05,-0.25,1,0,2,6,0,4,66.70%,33.30%,0,2,3,0,1,33.30%,66.70%,0,-,-,0,0,0,0.00%,0,1,0.90%,-,0,2,0,5,-,-,139,105,35,21.10%,7,2,2,0,1,0,100.00%,0.22,4,0,-,0,0,0,0.00%,0,1,19:47,0,0,0,0,145,80,0,0,0,0,3,-,0,0,0,0.00%,0,9,2,1.40%,-,0,0,60.70%,10.70%
,,"#10 Haruya Hiraoka
Osaka Gakuin University Senior H",4,17:17,0,16.70%,2,7,0,0,0.00%,5,2,3,12.20%,2,18,20,-2,0.55,0.57,-0.03,0.69,0,1,4,1,3,66.70%,25.00%,0,0,2,0,2,33.30%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,35,57.1,13,29.50%,0,0,2,2,1,0,0.00%,0.33,4,0,-,0,0,0,0.00%,0,0,4:19,0,0,0,0,33,54.5,0,0,0,0,0.5,-,0,0,0,0.00%,0,6,2,5.70%,-,0,0,14.50%,18.20%
,,"#10 Shayden Mandel
Kapa‘a High School",3,42:35:00,0,44.40%,8,9,4,7,43.80%,4,0,4,5.30%,1,52,96,-44,0.72,1.3,-0.58,0.86,0,1,5,0,4,55.60%,20.00%,0,2,4,0,2,44.40%,50.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,74,129.7,10,11.00%,0,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,1,14:11,0,0,0,0,72,72.2,0,0,0,0,2.7,-,0,0,0,0.00%,0,9,2,2.70%,-,0,0,44.40%,18.70%
,,"#10 Kashus Daley
Kahuku High School",4,2:06:27,0,49.00%,61,56,16,8,12.50%,24,6,18,11.20%,6,216,274,-58,0.92,1.16,-0.23,1.5,0,7,12,4,5,25.00%,58.30%,0,11,36,0,25,75.00%,30.60%,0,-,-,0,0,0,0.00%,0,1,0.50%,-,0,0,0,5,-,-,237,115.6,43,14.90%,11,14,16,2,8,0,87.50%,0.33,4,1,-,0,0,0,0.00%,0,0,31:36:00,0,0,0,0,234,92.3,0,0,0,0,15.2,-,0,0,0,0.00%,0,48,8,3.40%,-,0,0,55.40%,24.70%
,,"#10 Devin Gonzaga
Leilehua",2,22:40,0,37.50%,3,4,1,4,50.00%,2,0,2,3.80%,1,29,32,-3,0.76,0.89,-0.13,0.44,0,0,3,0,3,75.00%,0.00%,0,1,1,0,0,25.00%,100.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,36,88.9,4,8.50%,0,0,0,0,0,0,-,0,2,0,-,0,0,0,0.00%,0,0,11:20,0,0,0,0,38,76.3,0,0,0,0,1.5,-,0,0,0,0.00%,0,4,0,0.00%,-,0,0,37.50%,17.00%
,,"#10 Koen Makinano
Punahou School",4,41:22:00,0,20.00%,2,5,7,7,58.30%,3,1,2,4.50%,4,65,63,2,0.83,0.82,0.02,0.83,0,1,2,0,1,40.00%,50.00%,0,0,3,0,3,60.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,1,0,3,-,-,77,81.8,16,17.40%,2,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,10:20,0,0,0,0,78,83.3,0,0,0,0,0.5,-,0,0,0,0.00%,0,5,2,2.60%,-,1,0,20.00%,13.00%
,,"#10 Todd McKinney
University Laboratory School",4,1:54:36,0,46.70%,38,39,10,8,17.00%,18,1,17,9.00%,11,178,188,-10,0.88,0.94,-0.06,1,0,8,16,5,8,53.30%,50.00%,0,4,14,0,10,46.70%,28.60%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,11,-,-,201,93.5,37,15.50%,5,10,16,6,9,0,62.50%,0.53,4,0,-,0,0,0,0.00%,0,0,28:39:00,0,0,0,0,203,87.7,0,0,0,0,9.5,-,0,0,0,0.00%,0,30,2,1.00%,-,0,0,51.30%,23.40%
,,"#10 Tylis Jordan
Wheeler High School (GA)",4,1:41:35,0,51.30%,43,41,6,11,21.20%,30,10,20,15.70%,9,207,191,16,1.07,0.99,0.08,1.3,0,20,33,2,13,84.60%,60.60%,0,0,6,0,6,15.40%,0.00%,0,-,-,0,0,0,0.00%,0,4,2.40%,-,0,0,0,6,-,-,193,99,48,19.70%,4,3,4,1,2,0,75.00%,0.1,4,1,-,0,0,0,0.00%,0,2,25:23:00,0,0,1,0,193,107.3,0,0,0,0,10.8,-,0,0,0,0.00%,0,39,5,2.60%,-,1,0,52.70%,22.80%
,,"#11 Travis Paleo
Veritas Academy",2,5:54,0,-,0,0,0,1,100.00%,1,0,1,8.30%,3,9,9,0,0.82,0.82,0,0.12,0,0,0,0,0,-,-,0,0,0,0,0,-,-,0,-,-,0,0,0,-,0,0,0.00%,-,0,0,0,3,-,-,11,81.8,1,9.10%,1,0,0,0,0,0,-,-,2,0,-,0,0,0,-,0,0,2:57,0,0,0,0,11,81.8,0,0,0,0,0,-,0,0,0,-,0,0,0,0.00%,-,0,0,-,9.10%
,,"#11 Amare James
Wheeler High School (GA)",3,39:06:00,0,31.80%,9,12,5,5,29.40%,5,1,4,6.80%,3,66,62,4,0.92,0.86,0.06,0.88,0,2,5,1,3,45.50%,40.00%,0,1,6,0,5,54.50%,16.70%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,1,0,2,-,-,72,86.1,18,21.20%,1,2,2,0,1,0,100.00%,0.18,3,0,-,0,0,0,0.00%,0,0,13:02,0,0,1,0,72,91.7,0,0,0,0,3,-,0,0,0,0.00%,0,11,1,1.40%,-,0,0,37.90%,20.90%
,,"#11 Sebastian Wilkins
Brewster",4,1:25:48,0,55.20%,36,33,4,4,10.80%,19,5,14,13.10%,9,174,105,69,1.16,0.71,0.45,1.23,0,13,21,1,8,72.40%,61.90%,0,2,8,0,6,27.60%,25.00%,0,-,-,0,0,0,0.00%,0,1,0.90%,-,0,0,0,7,-,-,148,70.9,43,26.40%,2,4,6,2,4,0,66.70%,0.21,4,1,-,0,0,0,0.00%,0,0,21:27,0,0,1,0,150,116,0,0,0,0,9,-,0,0,0,0.00%,0,29,2,1.40%,-,0,0,56.90%,24.80%
,,"#11 Dane Kellner
Punahou School",4,1:25:37,0,33.30%,12,18,14,11,37.90%,14,6,8,8.60%,7,173,141,32,1.09,0.89,0.21,1.16,0,3,13,0,10,72.20%,23.10%,0,2,5,0,3,27.80%,40.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,159,88.7,36,18.60%,2,0,0,0,0,0,-,0,4,2,-,0,0,0,0.00%,0,0,21:24,0,0,1,0,158,109.5,0,0,0,0,3,-,0,0,0,0.00%,0,18,9,5.70%,-,0,0,33.30%,14.80%
,,"#11 Saxon McWilliam
Oak Hill Academy",2,13:26,0,100.00%,2,1,1,4,80.00%,1,0,1,3.40%,2,30,40,-10,0.86,1.08,-0.22,0.58,0,1,1,0,0,100.00%,100.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,37,108.1,7,15.60%,1,0,0,0,0,0,-,0,2,0,-,0,0,0,0.00%,0,0,6:43,0,0,1,0,35,85.7,0,0,0,0,1,-,0,0,0,0.00%,0,1,1,2.70%,-,0,0,100.00%,11.10%
,,"#11 Dylan Kobayashi
Kalani High School",3,1:14:29,0,24.40%,21,41,2,8,16.30%,9,3,6,5.30%,4,71,140,-69,0.49,0.98,-0.49,0.52,0,5,24,1,19,61.50%,20.80%,0,3,15,0,12,38.50%,20.00%,0,-,-,0,0,0,0.00%,0,1,0.70%,-,0,0,0,4,-,-,143,97.9,23,13.10%,4,2,4,2,2,0,50.00%,0.1,3,0,-,0,0,0,0.00%,0,0,24:49:00,0,0,0,0,146,48.6,0,0,0,0,7,-,0,0,0,0.00%,0,39,5,3.50%,-,0,0,25.80%,29.00%
,,"#11 Trystin Stevens
Leilehua",3,1:25:45,0,36.00%,42,54,4,9,14.30%,18,11,7,11.30%,5,136,203,-67,0.8,1.19,-0.39,0.8,0,12,32,2,20,64.00%,37.50%,0,4,18,0,14,36.00%,22.20%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,5,-,-,171,118.7,32,16.00%,1,6,7,1,4,0,85.70%,0.14,3,0,-,0,0,0,0.00%,0,0,28:35:00,0,0,0,0,170,80,0,0,0,0,14,-,0,0,0,0.00%,0,50,5,2.90%,-,0,1,39.60%,33.20%
,,"#11 Genki Kinugawa
Osaka Gakuin University Senior H",3,9:06,0,66.70%,7,5,1,2,28.60%,1,0,1,5.30%,0,20,12,8,1.05,0.67,0.39,2,0,2,3,0,1,100.00%,66.70%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,18,66.7,6,27.30%,3,3,3,0,2,0,100.00%,1,3,0,-,0,0,0,0.00%,0,0,3:02,0,0,0,0,19,105.3,0,0,0,0,2.3,-,0,0,0,0.00%,0,3,1,5.60%,-,0,0,81.00%,40.90%
,,"#11 Sean Banks, Jr.
Imhotep Institute Charter High S",2,8:11,0,0.00%,0,2,0,2,50.00%,0,0,0,0.00%,1,15,19,-4,0.88,1.06,-0.17,0.4,0,0,1,1,1,100.00%,0.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,1,8.30%,-,0,0,0,0,-,-,18,105.6,5,25.00%,1,0,2,2,1,0,0.00%,2,2,0,-,0,0,0,0.00%,0,0,4:05,0,0,1,0,17,88.2,0,0,0,0,0,-,0,0,0,0.00%,0,1,1,5.60%,-,0,0,0.00%,25.00%
,,"#11 Brody Sagawa
‘Iolani School",4,25:37:00,0,0.00%,0,5,2,2,28.60%,1,0,1,2.10%,7,37,55,-18,0.77,1.12,-0.35,0.32,0,0,1,0,1,20.00%,0.00%,0,0,4,0,4,80.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,1,0,7,-,-,49,112.2,14,23.00%,0,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,6:24,0,0,0,0,48,77.1,0,0,0,0,0,-,0,0,0,0.00%,0,5,1,2.00%,-,0,0,0.00%,11.50%
,,"#11 Jackson Rasmussen
Utah Prep",4,1:37:59,0,56.00%,38,31,4,2,6.10%,14,2,12,9.50%,3,223,137,86,1.39,0.85,0.54,2.06,0,11,15,5,4,60.00%,73.30%,0,2,10,0,8,40.00%,20.00%,0,-,-,0,0,0,0.00%,0,3,2.00%,-,0,0,0,2,-,-,162,84.6,37,18.40%,3,10,11,1,6,0,90.90%,0.44,4,1,-,0,0,0,0.00%,0,1,24:29:00,0,0,0,0,161,138.5,0,0,0,0,9.5,-,0,0,0,0.00%,0,25,3,1.90%,-,0,0,63.70%,19.90%
